Symbol,Name,Market Cap,Country,Volume,Sector,Industry,,,,,,,,,Symbol,Sector,
BLNKW,Blink Charging Co. Warrant,0,United States,1959,Miscellaneous,Business Services,,,,,,,,,BLNKW,Miscellaneous,
BLPH,Bellerophon Therapeutics Inc. Common Stock,32179228,United States,138786,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,BLPH,Health Care,
BLRX,BioLineRx Ltd. American Depositary Shares,135746861,Israel,257728,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,BLRX,Health Care,
BLSA,BCLS Acquisition Corp. Class A Ordinary Shares,182901438,United States,1628,Finance,Business Services,,,,,,,,,BLSA,Finance,
BLTS,Bright Lights Acquisition Corp. Class A Common Stock,280312500,,2231,,,,,,,,,,,BLTS,,
BLTSU,Bright Lights Acquisition Corp. Unit,0,,3385,,,,,,,,,,,BLTSU,,
BLTSW,Bright Lights Acquisition Corp. Warrant,0,,6859,,,,,,,,,,,BLTSW,,
BLU,BELLUS Health Inc. Common Shares,553845142,Canada,1302649,,,,,,,,,,,BLU,,
BLUE,bluebird bio Inc. Common Stock,1549576129,United States,740153,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,,,BLUE,Health Care,
BMAQU,Blockchain Moon Acquisition Corp. Units,0,United States,20744,,,,,,,,,,,BMAQU,,
BMBL,Bumble Inc. Class A Common Stock,6978624381,United States,679678,Technology,Computer Software: Prepackaged Software,,,,,,,,,BMBL,Technology,
BMEA,Biomea Fusion Inc. Common Stock,311732284,United States,84501,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,BMEA,Health Care,
BMRA,Biomerica Inc. Common Stock,55674885,United States,102069,Health Care,Medical/Dental Instruments,,,,,,,,,BMRA,Health Care,
BMRC,Bank of Marin Bancorp Common Stock,611184458,United States,29477,Finance,Major Banks,,,,,,,,,BMRC,Finance,
BMRN,BioMarin Pharmaceutical Inc. Common Stock,14338146341,United States,4825696,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,BMRN,Health Care,
BMTC,Bryn Mawr Bank Corporation Common Stock,925786286,United States,36398,Finance,Major Banks,,,,,,,,,BMTC,Finance,
BNFT,Benefitfocus Inc. Common Stock,363808002,United States,112062,Technology,Computer Software: Prepackaged Software,,,,,,,,,BNFT,Technology,
BNGO,Bionano Genomics Inc. Common Stock,1434779677,United States,4766446,Capital Goods,Biotechnology: Laboratory Analytical Instruments,,,,,,,,,BNGO,Capital Goods,
BNGOW,Bionano Genomics Inc. Warrant,0,United States,17045,Capital Goods,Biotechnology: Laboratory Analytical Instruments,,,,,,,,,BNGOW,Capital Goods,
BNIX,Bannix Acquisition Corp. Common Stock,0,United States,73900,,,,,,,,,,,BNIX,,
BNIXR,Bannix Acquisition Corp. Right,0,United States,340000,,,,,,,,,,,BNIXR,,
BNIXU,Bannix Acquisition Corp. Unit,0,United States,2600,,,,,,,,,,,BNIXU,,
BNIXW,Bannix Acquisition Corp. Warrant,0,United States,321125,,,,,,,,,,,BNIXW,,
BNNRU,Banner Acquisition Corp. Units,0,United States,202635,,,,,,,,,,,BNNRU,,
BNR,Burning Rock Biotech Limited American Depositary Shares,1504452757,China,125484,Health Care,Medical Specialities,,,,,,,,,BNR,Health Care,
BNSO,Bonso Electronics International Inc. Common Stock,26520727,Hong Kong,4656,Capital Goods,Industrial Machinery/Components,,,,,,,,,BNSO,Capital Goods,
BNTC,Benitec Biopharma Inc. Common Stock,30480404,United States,16112,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,BNTC,Health Care,
BNTX,BioNTech SE American Depositary Share,68869964881,Germany,1465613,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,,,BNTX,Health Care,
BOKF,BOK Financial Corporation Common Stock,6967373319,United States,92440,Finance,Major Banks,,,,,,,,,BOKF,Finance,
BOLT,Bolt Biotherapeutics Inc. Common Stock,479154599,United States,63769,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,BOLT,Health Care,
BOMN,Boston Omaha Corporation Class A Common Stock,1018305639,United States,95824,Technology,Advertising,,,,,,,,,BOMN,Technology,
BON,Bon Natural Life Limited Ordinary Shares,49480200,China,49844,Consumer Services,Real Estate Investment Trusts,,,,,,,,,BON,Consumer Services,
BOOM,DMC Global Inc. Common Stock,795992566,United States,102854,,,,,,,,,,,BOOM,,
BOSC,B.O.S. Better Online Solutions Common Stock,14702790,Israel,4313,Technology,Computer Communications Equipment,,,,,,,,,BOSC,Technology,
BOTJ,Bank of the James Financial Group Inc. Common Stock,74665348,United States,3079,Finance,Major Banks,,,,,,,,,BOTJ,Finance,
BOXL,Boxlight Corporation Class A Common Stock,128094372,United States,1054372,Capital Goods,Telecommunications Equipment,,,,,,,,,BOXL,Capital Goods,
BPMC,Blueprint Medicines Corporation Common Stock,6638194933,United States,880979,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,BPMC,Health Care,
BPOP,Popular Inc. Common Stock,6503095388,United States,656689,Finance,Major Banks,,,,,,,,,BPOP,Finance,
BPOPM,Popular Inc. Popular Capital Trust II - 6.125% Cumulative Monthly Income Trust Preferred Securities,0,United States,8822,Finance,Major Banks,,,,,,,,,BPOPM,Finance,
BPOPN,Popular Inc. 6.70% Cumulative Monthly Income Trust Preferred Securities,0,United States,15149,Finance,Major Banks,,,,,,,,,BPOPN,Finance,
BPRN,The Bank of Princeton Common Stock,201302467,United States,5860,Finance,Major Banks,,,,,,,,,BPRN,Finance,
BPTH,Bio-Path Holdings Inc. Common Stock,33199982,United States,78438,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,BPTH,Health Care,
BPTS,Biophytis SA American Depositary Share,76459527,France,267,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,BPTS,Health Care,
BPYPM,Brookfield Property Partners L.P. 6.25% Class A Cumulative Redeemable Preferred Units Series 1,0,Bermuda,33082,,,,,,,,,,,BPYPM,,
BPYPN,Brookfield Property Partners L.P. 5.750% Class A Cumulative Redeemable Perpetual Preferred Units Series 3,0,Bermuda,6503,Finance,Real Estate,,,,,,,,,BPYPN,Finance,
BPYPO,Brookfield Property Partners L.P. 6.375% Class A Cumulative Redeemable Perpetual Preferred Units Series 2,0,Bermuda,11810,Finance,Real Estate,,,,,,,,,BPYPO,Finance,
BPYPP,Brookfield Property Partners L.P. 6.50% Class A Cumulative Redeemable Perpetual Preferred Units,0,Bermuda,3031,Finance,Real Estate,,,,,,,,,BPYPP,Finance,
BRAG,Bragg Gaming Group Inc. Common Shares,166173621,Canada,29099,,,,,,,,,,,BRAG,,
BRCN,Burcon NutraScience Corp. Common Stock,154058100,Canada,67637,Basic Industries,Precious Metals,,,,,,,,,BRCN,Basic Industries,
BREZ,Breeze Holdings Acquisition Corp. Common Stock,148303200,United States,20622,,,,,,,,,,,BREZ,,
BREZR,Breeze Holdings Acquisition Corp. Right,0,United States,22320,Finance,Business Services,,,,,,,,,BREZR,Finance,
BREZW,Breeze Holdings Acquisition Corp. Warrant,0,United States,135742,,,,,,,,,,,BREZW,,
BRID,Bridgford Foods Corporation Common Stock,110374277,United States,4468,Consumer Non-Durables,Specialty Foods,,,,,,,,,BRID,Consumer Non-Durables,
BRIV,B. Riley Principal 250 Merger Corp. Class A common stock,211096875,United States,128,,,,,,,,,,,BRIV,,
BRIVU,B. Riley Principal 250 Merger Corp. Units,0,United States,33,,,,,,,,,,,BRIVU,,
BRIVW,B. Riley Principal 250 Merger Corp. Warrant,0,United States,110246,,,,,,,,,,,BRIVW,,
BRKL,Brookline Bancorp Inc. Common Stock,1258900683,United States,305899,Finance,Savings Institutions,,,,,,,,,BRKL,Finance,
BRKR,Bruker Corporation Common Stock,12049885640,United States,508627,Capital Goods,Biotechnology: Laboratory Analytical Instruments,,,,,,,,,BRKR,Capital Goods,
BRKS,Brooks Automation Inc.,8443823251,United States,586012,Technology,Industrial Machinery/Components,,,,,,,,,BRKS,Technology,
BRLI,Brilliant Acquisition Corporation Ordinary Shares,61965540,China,2,Finance,Business Services,,,,,,,,,BRLI,Finance,
BRLIR,Brilliant Acquisition Corporation Rights,0,China,1,Finance,Business Services,,,,,,,,,BRLIR,Finance,
BRLIW,Brilliant Acquisition Corporation Warrants,0,China,21290,Finance,Business Services,,,,,,,,,BRLIW,Finance,
BRLT,Brilliant Earth Group Inc. Class A Common Stock,115383317,United States,220471,Consumer Non-Durables,Consumer Specialties,,,,,,,,,BRLT,Consumer Non-Durables,
BROG,Brooge Energy Limited Ordinary Shares,1008208257,United Kingdom,1180,Energy,Integrated oil Companies,,,,,,,,,BROG,Energy,
BROGW,Brooge Holdings Limited Warrant expiring 12/20/2024,0,United Kingdom,5,Energy,Integrated oil Companies,,,,,,,,,BROGW,Energy,
BRP,BRP Group Inc. (Insurance Company) Class A Common Stock,4075786237,United States,194744,Finance,Specialty Insurers,,,,,,,,,BRP,Finance,
BRPM,B. Riley Principal 150 Merger Corp. Class A Common Stock,242245025,United States,2344514,,,,,,,,,,,BRPM,,
BRPMU,B. Riley Principal 150 Merger Corp. Unit,0,United States,42436,,,,,,,,,,,BRPMU,,
BRPMW,B. Riley Principal 150 Merger Corp. Warrant,0,United States,501473,,,,,,,,,,,BRPMW,,
BRQS,Borqs Technologies Inc. Ordinary Shares,85667804,China,4036599,,,,,,,,,,,BRQS,,
BRY,Berry Corporation (bry) Common Stock,786201885,United States,266564,Energy,Oil & Gas Production,,,,,,,,,BRY,Energy,
BSBK,Bogota Financial Corp. Common Stock,134206755,United States,15330,,,,,,,,,,,BSBK,,
BSET,Bassett Furniture Industries Incorporated Common Stock,167507876,United States,50985,Consumer Durables,Home Furnishings,,,,,,,,,BSET,Consumer Durables,
BSGA,Blue Safari Group Acquisition Corp. Class A Ordinary Share,60695000,China,5,,,,,,,,,,,BSGA,,
BSGAR,Blue Safari Group Acquisition Corp. Right,0,China,688,,,,,,,,,,,BSGAR,,
BSGM,BioSig Technologies Inc. Common Stock,92198990,United States,99234,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,,,,,,,,,BSGM,Health Care,
BSKY,Big Sky Growth Partners Inc. Class A Common Stock,366937500,United States,149,,,,,,,,,,,BSKY,,
BSKYU,Big Sky Growth Partners Inc. Unit,0,United States,454,,,,,,,,,,,BSKYU,,
BSKYW,Big Sky Growth Partners Inc. Warrant,0,United States,21371,,,,,,,,,,,BSKYW,,
BSQR,BSQUARE Corporation Common Stock,46347651,United States,332049,Technology,Computer Software: Prepackaged Software,,,,,,,,,BSQR,Technology,
BSRR,Sierra Bancorp Common Stock,383793824,United States,37129,Finance,Major Banks,,,,,,,,,BSRR,Finance,
BSVN,Bank7 Corp. Common stock,219313519,United States,31361,Finance,Major Banks,,,,,,,,,BSVN,Finance,
BSY,Bentley Systems Incorporated Class B Common Stock,16643886091,United States,398915,Technology,Retail: Computer Software & Peripheral Equipment,,,,,,,,,BSY,Technology,
BTAI,BioXcel Therapeutics Inc. Common Stock,840188400,United States,193016,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,BTAI,Health Care,
BTAQ,Burgundy Technology Acquisition Corporation Class A Ordinary shares,439665625,Cayman Islands,15432,Finance,Business Services,,,,,,,,,BTAQ,Finance,
BTAQU,Burgundy Technology Acquisition Corporation Unit,417130000,Cayman Islands,101,Finance,Business Services,,,,,,,,,BTAQU,Finance,
BTAQW,Burgundy Technology Acquisition Corporation Warrant,0,Cayman Islands,26027,Finance,Business Services,,,,,,,,,BTAQW,Finance,
BTB,Bit Brother Limited Ordinary Shares,9850822,China,891077,,,,,,,,,,,BTB,,
BTBT,Bit Digital Inc. Ordinary Shares,439176809,United States,4111302,Finance,Finance: Consumer Services,,,,,,,,,BTBT,Finance,
BTCS,BTCS Inc. Common Stock,65184977,United States,136844,Finance,Investment Managers,,,,,,,,,BTCS,Finance,
BTCY,Biotricity Inc. Common Stock,198465422,United States,356134,Health Care,Medical/Dental Instruments,,,,,,,,,BTCY,Health Care,
BTNB,Bridgetown 2 Holdings Limited Class A Ordinary Shares,375245000,China,27533,Finance,Business Services,,,,,,,,,BTNB,Finance,
BTRS,BTRS Holdings Inc. Class 1 Common Stock,1376685251,United States,1329069,Technology,EDP Services,,,,,,,,,BTRS,Technology,
BTRSW,BTRS Holdings Inc. Warrants,0,United States,132227,Technology,EDP Services,,,,,,,,,BTRSW,Technology,
BTWN,Bridgetown Holdings Limited Class A Ordinary Shares,752666793,Hong Kong,477082,Finance,Business Services,,,,,,,,,BTWN,Finance,
BTWNU,Bridgetown Holdings Limited Units,0,Hong Kong,22707,Finance,Business Services,,,,,,,,,BTWNU,Finance,
BTWNW,Bridgetown Holdings Limited Warrants,0,Hong Kong,68600,Finance,Business Services,,,,,,,,,BTWNW,Finance,
BTX,Brooklyn ImmunoTherapeutics Inc. Common Stock,439184406,United States,416302,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,BTX,Health Care,
BUSE,First Busey Corporation Class A Common Stock,1408514806,United States,122835,Finance,Major Banks,,,,,,,,,BUSE,Finance,
BVS,Bioventus Inc. Class A Common Stock,851035353,United States,432935,Health Care,Medical/Dental Instruments,,,,,,,,,BVS,Health Care,
BVXV,BiondVax Pharmaceuticals Ltd. American Depositary Shares,30240826,Israel,62027,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,,,BVXV,Health Care,
BWAC,Better World Acquisition Corp. Common Stock,162989380,United States,13033,,,,,,,,,,,BWAC,,
BWACU,Better World Acquisition Corp. Unit,0,United States,3,,,,,,,,,,,BWACU,,
BWACW,Better World Acquisition Corp. Warrants,0,United States,13495,,,,,,,,,,,BWACW,,
BWAY,BrainsWay Ltd. American Depositary Shares,127501582,Israel,69115,Health Care,Medical/Dental Instruments,,,,,,,,,BWAY,Health Care,
BWB,Bridgewater Bancshares Inc. Common Stock,505930210,United States,33393,Finance,Major Banks,,,,,,,,,BWB,Finance,
BWBBP,Bridgewater Bancshares Inc. Depositary Shares Each Representing a 1/100th Interest in a Share of 5.875% Non-Cumulative Perpetual Preferred Stock Series A,0,United States,4722,Finance,Major Banks,,,,,,,,,BWBBP,Finance,
BWC,Blue Whale Acquisition Corp I Class A Ordinary Shares,287784686,Cayman Islands,15146,,,,,,,,,,,BWC,,
BWCAU,Blue Whale Acquisition Corp I Unit,0,Cayman Islands,16350,,,,,,,,,,,BWCAU,,
BWCAW,Blue Whale Acquisition Corp I Warrant,0,Cayman Islands,71999,,,,,,,,,,,BWCAW,,
BWEN,Broadwind Inc. Common Stock,55053573,United States,563548,Capital Goods,Industrial Machinery/Components,,,,,,,,,BWEN,Capital Goods,
BWFG,Bankwell Financial Group Inc. Common Stock,237088570,United States,25002,Finance,Major Banks,,,,,,,,,BWFG,Finance,
BWMN,Bowman Consulting Group Ltd. Common Stock,166549082,United States,43579,Consumer Services,Professional Services,,,,,,,,,BWMN,Consumer Services,
BWMX,Betterware de Mexico S.A.B. de C.V. Ordinary Shares,1213157539,Mexico,157962,Consumer Services,Catalog/Specialty Distribution,,,,,,,,,BWMX,Consumer Services,
BXRX,Baudax Bio Inc. Common Stock,47755411,United States,1581480,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,BXRX,Health Care,
BYFC,Broadway Financial Corporation Common Stock,210999219,United States,36473,Finance,Savings Institutions,,,,,,,,,BYFC,Finance,
BYND,Beyond Meat Inc. Common Stock,6336830601,United States,2612913,Consumer Non-Durables,Specialty Foods,,,,,,,,,BYND,Consumer Non-Durables,
BYRN,Byrna Technologies Inc. Common Stock,395769718,United States,237484,Consumer Non-Durables,Military/Government/Technical,,,,,,,,,BYRN,Consumer Non-Durables,
BYSI,BeyondSpring Inc. Ordinary Shares,432086108,United States,958999,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,BYSI,Health Care,
BYTS,BYTE Acquisition Corp. Class A Ordinary Shares,405787496,United States,7239,Finance,Business Services,,,,,,,,,BYTS,Finance,
BYTSU,BYTE Acquisition Corp. Units,0,United States,5557,Finance,Business Services,,,,,,,,,BYTSU,Finance,
BYTSW,BYTE Acquisition Corp. Warrants,0,United States,225,Finance,Business Services,,,,,,,,,BYTSW,Finance,
BZ,KANZHUN LIMITED American Depository Shares,14723237556,China,875406,,,,,,,,,,,BZ,,
BZUN,Baozun Inc. American Depositary Shares,1387263857,China,869613,Consumer Services,Catalog/Specialty Distribution,,,,,,,,,BZUN,Consumer Services,
CAAS,China Automotive Systems Inc. Common Stock,116002678,China,261333,Capital Goods,Auto Parts:O.E.M.,,,,,,,,,CAAS,Capital Goods,
CABA,Cabaletta Bio Inc. Common Stock,338132118,United States,260328,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,CABA,Health Care,
CAC,Camden National Corporation Common Stock,708015911,United States,15245,Finance,Major Banks,,,,,,,,,CAC,Finance,
CACC,Credit Acceptance Corporation Common Stock,9450560256,United States,117485,Finance,Finance: Consumer Services,,,,,,,,,CACC,Finance,
CADL,Candel Therapeutics Inc. Common Stock,322760723,United States,43606,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,CADL,Health Care,
CAKE,Cheesecake Factory Incorporated (The) Common Stock,2148714048,United States,798841,Consumer Services,Restaurants,,,,,,,,,CAKE,Consumer Services,
CALA,Calithera Biosciences Inc. Common Stock,143801499,United States,803555,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,CALA,Health Care,
CALB,California BanCorp Common Stock,145079315,United States,7175,Finance,Major Banks,,,,,,,,,CALB,Finance,
CALM,Cal-Maine Foods Inc. Common Stock,1792575401,United States,172046,,Farming/Seeds/Milling,,,,,,,,,CALM,,
CALT,Calliditas Therapeutics AB American Depositary Shares,534669281,Sweden,23244,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,CALT,Health Care,
CAMP,CalAmp Corp. Common Stock,345184224,United States,93094,Consumer Services,Telecommunications Equipment,,,,,,,,,CAMP,Consumer Services,
CAMT,Camtek Ltd. Ordinary Shares,1680890625,Israel,175888,Capital Goods,Electronic Components,,,,,,,,,CAMT,Capital Goods,
CAN,Canaan Inc. American Depositary Shares,1515871586,China,4276526,Technology,Semiconductors,,,,,,,,,CAN,Technology,
CAPR,Capricor Therapeutics Inc. Common Stock,87484189,United States,109063,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,,,CAPR,Health Care,
CAR,Avis Budget Group Inc. Common Stock,11429345125,United States,1548659,Miscellaneous,Rental/Leasing Companies,,,,,,,,,CAR,Miscellaneous,
CARA,Cara Therapeutics Inc. Common Stock,849024415,United States,2687726,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,CARA,Health Care,
CARE,Carter Bankshares Inc. Common Stock,389855198,United States,48364,Finance,Major Banks,,,,,,,,,CARE,Finance,
CARG,CarGurus Inc. Class A Common Stock ,3904963546,United States,346967,,,,,,,,,,,CARG,,
CARV,Carver Bancorp Inc. Common Stock,51918564,United States,207276,Finance,Savings Institutions,,,,,,,,,CARV,Finance,
CASA,Casa Systems Inc. Common Stock,536576154,United States,112212,Technology,Radio And Television Broadcasting And Communications Equipment,,,,,,,,,CASA,Technology,
CASH,Meta Financial Group Inc. Common Stock,1758481890,United States,1116356,Finance,Banks,,,,,,,,,CASH,Finance,
CASI,CASI Pharmaceuticals Inc. Common Stock,153777236,United States,1493861,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,,,CASI,Health Care,
CASS,Cass Information Systems Inc Common Stock,597290280,United States,38309,Miscellaneous,Business Services,,,,,,,,,CASS,Miscellaneous,
CASY,Casey's General Stores Inc. Common Stock,6993773371,United States,157183,Consumer Services,Food Chains,,,,,,,,,CASY,Consumer Services,
CATC,Cambridge Bancorp Common Stock,640860132,United States,7766,Finance,Major Banks,,,,,,,,,CATC,Finance,
CATY,Cathay General Bancorp Common Stock,3292750365,United States,342047,Finance,Major Banks,,,,,,,,,CATY,Finance,
CBAN,Colony Bankcorp Inc. Common Stock,258305600,United States,16312,Finance,Major Banks,,,,,,,,,CBAN,Finance,
CBAT,CBAK Energy Technology Inc. Common Stock,196272828,China,4231799,Capital Goods,Electrical Products,,,,,,,,,CBAT,Capital Goods,
CBAY,CymaBay Therapeutics Inc. Common Stock,271161896,United States,286400,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,CBAY,Health Care,
CBFV,CB Financial Services Inc. Common Stock,128854952,United States,2942,Finance,Major Banks,,,,,,,,,CBFV,Finance,
CBIO,Catalyst Biosciences Inc. Common Stock,102814966,United States,934876,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,CBIO,Health Care,
CBMB,CBM Bancorp Inc. Common Stock,52475029,United States,1855,Finance,Commercial Banks,,,,,,,,,CBMB,Finance,
CBNK,Capital Bancorp Inc. Common Stock,357746181,United States,9205,Finance,Major Banks,,,,,,,,,CBNK,Finance,
CBRL,Cracker Barrel Old Country Store Inc Common Stock,3094631276,United States,287014,Consumer Services,Restaurants,,,,,,,,,CBRL,Consumer Services,
CBSH,Commerce Bancshares Inc. Common Stock,8187458617,United States,232658,Finance,Major Banks,,,,,,,,,CBSH,Finance,
CBTX,CBTX Inc. Common Stock,660160719,United States,22985,Finance,Major Banks,,,,,,,,,CBTX,Finance,
CCAI,Cascadia Acquisition Corp. Class A Common Stock,187331250,United States,10349,,,,,,,,,,,CCAI,,
CCAIU,Cascadia Acquisition Corp. Unit,0,United States,62848,,,,,,,,,,,CCAIU,,
CCAIW,Cascadia Acquisition Corp. Warrant,0,United States,3450,,,,,,,,,,,CCAIW,,
CCAP,Crescent Capital BDC Inc. Common stock,568698998,United States,13810,,,,,,,,,,,CCAP,,
CCB,Coastal Financial Corporation Common Stock,435751352,United States,64528,Finance,Commercial Banks,,,,,,,,,CCB,Finance,
CCBG,Capital City Bank Group Common Stock,454862100,United States,11067,Finance,Major Banks,,,,,,,,,CCBG,Finance,
CCCC,C4 Therapeutics Inc. Common Stock,2226958065,United States,199136,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,CCCC,Health Care,
CCD,Calamos Dynamic Convertible & Income Fund Common Stock,794846233,United States,31810,Finance,Trusts Except Educational Religious and Charitable,,,,,,,,,CCD,Finance,
CCEL,Cryo-Cell International Inc. Common Stock,107473552,United States,5323,Health Care,Managed Health Care,,,,,,,,,CCEL,Health Care,
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,24201711294,United Kingdom,424538,Consumer Non-Durables,Beverages (Production/Distribution),,,,,,,,,CCEP,Consumer Non-Durables,
CCLP,CSI Compressco LP Common Units,73395997,United States,88321,Energy,Oilfield Services/Equipment,,,,,,,,,CCLP,Energy,
CCMP,CMC Materials Inc. Common Stock,3626202032,United States,349916,Technology,Semiconductors,,,,,,,,,CCMP,Technology,
CCNC,Code Chain New Continent Limited Common Stock,55722945,China,592749,,,,,,,,,,,CCNC,,
CCNE,CNB Financial Corporation Common Stock,424269113,United States,16973,Finance,Major Banks,,,,,,,,,CCNE,Finance,
CCNEP,CNB Financial Corporation Depositary Shares each representing a 1/40th ownership interest in a share of 7.125% Series A Fixed-Rate Non-Cumulative Perpetual Preferred Stock,0,United States,16,Finance,Major Banks,,,,,,,,,CCNEP,Finance,
CCOI,Cogent Communications Holdings Inc.,3620204674,United States,128571,Consumer Services,Telecommunications Equipment,,,,,,,,,CCOI,Consumer Services,
CCRN,Cross Country Healthcare Inc. Common Stock $0.0001 Par Value,755126285,United States,226742,Technology,Diversified Commercial Services,,,,,,,,,CCRN,Technology,
CCSI,Consensus Cloud Solutions Inc. Common Stock,1283895104,United States,102996,Technology,Retail: Computer Software & Peripheral Equipment,,,,,,,,,CCSI,Technology,
CCXI,ChemoCentryx Inc. Common Stock,2403282502,United States,1218075,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,CCXI,Health Care,
CD,Chindata Group Holdings Limited American Depositary Shares,3794368201,China,1883954,Finance,Investment Bankers/Brokers/Service,,,,,,,,,CD,Finance,
CDAK,Codiak BioSciences Inc. Common Stock,310403986,United States,43728,Consumer Durables,Specialty Chemicals,,,,,,,,,CDAK,Consumer Durables,
CDAQU,Compass Digital Acquisition Corp. Unit,0,United States,93915,,,,,,,,,,,CDAQU,,
CDEV,Centennial Resource Development Inc. Class A Common Stock,2056320167,United States,4043050,Energy,Oil & Gas Production,,,,,,,,,CDEV,Energy,
CDK,CDK Global Inc. Common Stock,5096003313,United States,887637,Technology,Retail: Computer Software & Peripheral Equipment,,,,,,,,,CDK,Technology,
CDLX,Cardlytics Inc. Common Stock,2638583344,United States,207800,Technology,EDP Services,,,,,,,,,CDLX,Technology,
CDMO,Avid Bioservices Inc. Common Stock,1883183559,United States,13750694,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,CDMO,Health Care,
CDNA,CareDx Inc. Common Stock,3701794786,United States,536112,Health Care,Medical Specialities,,,,,,,,,CDNA,Health Care,
CDNS,Cadence Design Systems Inc. Common Stock,46814657720,United States,1037758,Technology,Computer Software: Prepackaged Software,,,,,,,,,CDNS,Technology,
CDTX,Cidara Therapeutics Inc. Common Stock,103184707,United States,292541,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,CDTX,Health Care,
CDW,CDW Corporation Common Stock,25565906576,United States,648270,Technology,EDP Services,,,,,,,,,CDW,Technology,
CDXC,ChromaDex Corporation Common Stock,419408635,United States,184804,Consumer Durables,Specialty Chemicals,,,,,,,,,CDXC,Consumer Durables,
CDXS,Codexis Inc. Common Stock,2251436765,United States,944051,Health Care,Biotechnology: Commercial Physical & Biological Resarch,,,,,,,,,CDXS,Health Care,
CDZI,CADIZ Inc. Common Stock,256418520,United States,225167,Public Utilities,Water Supply,,,,,,,,,CDZI,Public Utilities,
CDZIP,Cadiz Inc. Depositary Shares,0,United States,10865,Public Utilities,Water Supply,,,,,,,,,CDZIP,Public Utilities,
CECE,CECO Environmental Corp. Common Stock,243602437,United States,37048,Capital Goods,Pollution Control Equipment,,,,,,,,,CECE,Capital Goods,
CELC,Celcuity Inc. Common Stock,264561940,United States,16734,Health Care,Medical Specialities,,,,,,,,,CELC,Health Care,
CELH,Celsius Holdings Inc. Common Stock,7279900295,United States,425307,Consumer Non-Durables,Beverages (Production/Distribution),,,,,,,,,CELH,Consumer Non-Durables,
CELU,Celularity Inc. Class A Common Stock,818567069,United States,71030,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,CELU,Health Care,
CELUW,Celularity Inc. Warrant,0,United States,15146,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,CELUW,Health Care,
CEMI,Chembio Diagnostics Inc. Common Stock,65546219,United States,789616,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,,,,,,,,,CEMI,Health Care,
CENQ,CENAQ Energy Corp. Class A Ordinary Shares,215347275,United States,5191,,,,,,,,,,,CENQ,,
CENQU,CENAQ Energy Corp. Unit,0,United States,400,,,,,,,,,,,CENQU,,
CENQW,CENAQ Energy Corp. Warrant,0,United States,116491,,,,,,,,,,,CENQW,,
CENT,Central Garden & Pet Company Common Stock,2852753422,United States,19734,,,,,,,,,,,CENT,,
CENTA,Central Garden & Pet Company Class A Common Stock Nonvoting,2554721186,United States,81970,,,,,,,,,,,CENTA,,
CENX,Century Aluminum Company Common Stock,1296958008,United States,1043867,Basic Industries,Aluminum,,,,,,,,,CENX,Basic Industries,
CERE,Cerevel Therapeutics Holdings Inc. Common Stock,5997609637,United States,284595,Consumer Durables,Specialty Chemicals,,,,,,,,,CERE,Consumer Durables,
CERN,Cerner Corporation Common Stock,20889049193,United States,3058204,Health Care,Managed Health Care,,,,,,,,,CERN,Health Care,
CERS,Cerus Corporation Common Stock,1122439213,United States,866147,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,,,CERS,Health Care,
